issue,keyword,title,url,source,published_date,snippet,collection_method
대형마트 새벽배송 / 유통산업발전법 개정,대형마트 새벽배송 유통산업발전법,홈플러스 37곳 결국 폐점한다는데…선거 끝났으니 ‘ 새벽배송 ’ 족쇄 풀...,https://www.mk.co.kr/article/12065949,mk.co.kr,2026-06-04,"통해 대형마트 새벽배송 허용을 위한 유통산업발전법 개정 추진 방침을 공식화했다. 당시 당정은 “온라인... 이 마트 와 롯데 마트 , 홈플러스 등은 이미 온라인 주문 처리 시스템을 상당 부분 구축한 상태여서 법 개정 시...",naver_api
대형마트 새벽배송 / 유통산업발전법 개정,대형마트 새벽배송 유통산업발전법,지선 후 대형마트 새벽배송 ·지역화폐 향방은... 유통 ·식품업계 ‘촉각...,https://biz.chosun.com/distribution/channel/2026/06/04/DFPWFE5RX5A5NKXPTH7H3UCRLU/?utm_source=naver&utm_medium=original&utm_campaign=biz,biz.chosun.com,2026-06-04,내용의 유통산업발전법 개정 논의가 진행되고 있다. 법이 바뀌면 대형마트 는 점포를 물류 거점으로 활용해 심야 포장·반출· 배송 을 할 수 있어 새벽배송 이 가능해진다. 대형마트 의무휴업일을 일요일에서 평일로...,naver_api
대형마트 새벽배송 / 유통산업발전법 개정,대형마트 새벽배송 유통산업발전법,6·3 지방선거 이후 대형마트 정책 어디로…규제 완화 ‘속도조절’,https://www.ddaily.co.kr/page/view/2026060508324088155,ddaily.co.kr,2026-06-05,"국회에서는 새벽배송 허용 법안 논의까지 시작됐지만, 이번 선거 결과로 규제 완화 흐름에 제동이 걸릴 수 있다는 관측이 나온다. 유통산업발전법 에 따르면 대형마트 와 기업형슈퍼마켓(SSM)의 의무휴업일 지정과 심야 영업...",naver_api
대형마트 새벽배송 / 유통산업발전법 개정,대형마트 새벽배송 유통산업발전법,[이슈in] 지방선거 끝났다… 유통 법 개정 ' 새벽배송 전쟁' 본격화 초읽기,https://www.newscj.com/news/articleView.html?idxno=3406240,newscj.com,2026-06-03,"대형마트 새벽배송 허용을 담은 유통산업발전법 ( 유통 법) 개정안이 법안심사소위원회 문턱에 올라서면서... 롯데 마트 70여개, 홈플러스 290여개 수준이다. 행정안전부에 등록된 쿠팡 물류 거점은 246개다. 법 개정 시...",naver_api
대형마트 새벽배송 / 유통산업발전법 개정,대형마트 새벽배송 유통산업발전법,지선 이후 유통 판 흔드나… 새벽배송 ·지역화폐·야간경제 ‘정책 대전...,https://www.mydaily.co.kr/page/view/2026060511430130907,mydaily.co.kr,2026-06-05,특히 공약은 아니지만 선거 기간 표심을 의식해 속도가 늦춰졌던 유통산업발전법 개정안 논의가 다시 탄력을 받을 것으로 전망된다. 핵심은 대형마트 의무휴업일이나 심야 영업 제한 등 규제 속에서도 온라인 배송 을...,naver_api
대형마트 새벽배송 / 유통산업발전법 개정,대형마트 새벽배송 허용,"지방선거 끝, '의무휴업' 등 대형마트 규제 완화 논의 주목",https://www.newsis.com/view/NISX20260605_0003657766,newsis.com,2026-06-05,"관련 법 개정안과 연구 보고서, 악화된 업황 등을 마주한 대형마트 측은 정치권 논의에 기대감을 공유하는 모습이다. 특히 이커머스 업체들과 가격 경쟁 등 비용이 발생하는 새벽 배송 보다 의무휴업 규제 완화가...",naver_api
대형마트 새벽배송 / 유통산업발전법 개정,대형마트 새벽배송 허용,"대형마트 규제 풀릴까…선거 끝, 아리송해진 셈법 [언박싱]",https://biz.heraldcorp.com/article/10763338?ref=naver,biz.heraldcorp.com,2026-06-04,심사 대상에 오른 김동아 민주당 의원안과 김성원 국민의힘 의원안 모두 대형마트 의 새벽배송 을 허용 하는 내용을 담고 있다. 다만 중소상인·노동계 반발이 크고 각종 현안이 산적해 있어 논의가 탄력을 받을 수 있을지는...,naver_api
대형마트 새벽배송 / 유통산업발전법 개정,대형마트 새벽배송 소상공인,대형마트 14년 족쇄 풀리나…‘ 새벽배송 ’ 역습 채비,https://www.mediapen.com/news/view/1102661,mediapen.com,2026-06-04,"그간 지방선거를 앞두고 소상공인 과 유통업계 종사자 등 표심 계산으로 논의가 더뎌졌지만, 여야 모두 유통... 대형마트 B사 관계자는 ""전국 대형마트 및 SSM 점포를 새벽배송 물류 거점으로 활용할 수 있게 되면, 새벽배송 ...",naver_api
대형마트 새벽배송 / 유통산업발전법 개정,대형마트 새벽배송 소비자 편의,'24시간 퀵 배송 ' 편의 점의 반란⋯쿠팡·네이버 턱밑 추격,http://www.inews24.com/view/1973837,inews24.com,2026-06-04,"업계 관계자는 "" 대형마트 가 규제로 새벽배송 이 불가한 상황에서 편의 점은 24시간 배송 이 가능한 유일한 오프라인 채널""이라며 ""최근에는 상품군마저 대폭 늘리며 온라인 쇼핑에 익숙해진 소비자 들을 적극 공략하고...",naver_api
대형마트 새벽배송 / 유통산업발전법 개정,대형마트 새벽배송 소비자 편의,대형마트 의무휴업 평일 전환 확산…대전은 왜 멈춰있나,https://www.daejonilbo.com/news/articleView.html?idxno=2279373,daejonilbo.com,2026-06-03,"이어 "" 대형마트 배송 규제를 완화하거나 새벽배송 을 허용해야 한다는 의견이 있는 반면, 의무휴업을 주말에... 다만 소비자 편익 확대와 유통업계 경쟁력 강화, 전통시장 보호라는 상충된 과제가 핵심 쟁점이 될...",naver_api
